scenario_id,country,year,quarter,OILE85_y,OILE85_q,STN_y,STN_q,LTN_y,LTN_q,ITS_y,ITS_q,PCS_y,PCS_q,GDP_y,GDP_q,HP_y,HP_q,ESX_y,ESX_q,CBR_y,CBR_q
1,FI,1,3,0,0,0,0,0,0,0,0,0,0,-2.42865993,-2.42865993,-8.75,-10,0,0,0,0
1,FI,1,4,0,0,0,0,0,0,0,0,0,0,-2.42865993,-2.42865993,-8.75,-10,0,0,0,0
1,FI,2,5,0,0,0,0,0,0,0,0,0,0,-8.162179239,-8.162179239,-10,-10,0,0,0,0
1,FI,2,6,0,0,0,0,0,0,0,0,0,0,-8.162179239,-8.162179239,-10,-10,0,0,0,0
1,FI,2,7,0,0,0,0,0,0,0,0,0,0,-8.162179239,-8.162179239,-10,-10,0,0,0,0
1,FI,2,8,0,0,0,0,0,0,0,0,0,0,-8.162179239,-8.162179239,-10,-10,0,0,0,0
1,FI,3,9,0,0,0,0,0,0,0,0,0,0,-16.63909435,-16.63909435,-10,-10,0,0,0,0
1,FI,3,10,0,0,0,0,0,0,0,0,0,0,-16.63909435,-16.63909435,-10,-10,0,0,0,0
1,FI,3,11,0,0,0,0,0,0,0,0,0,0,-16.63909435,-16.63909435,-10,-10,0,0,0,0
1,FI,3,12,0,0,0,0,0,0,0,0,0,0,-16.63909435,-16.63909435,-10,-10,0,0,0,0
1,FR,1,1,0,0,0,0,0,0,0,0,0,0,-0.232150319,-0.232150319,-8.75,-5,0,0,0,0
1,FR,1,2,0,0,0,0,0,0,0,0,0,0,-0.232150319,-0.232150319,-8.75,-10,0,0,0,0
1,FR,1,3,0,0,0,0,0,0,0,0,0,0,-0.232150319,-0.232150319,-8.75,-10,0,0,0,0
1,FR,1,4,0,0,0,0,0,0,0,0,0,0,-0.232150319,-0.232150319,-8.75,-10,0,0,0,0
1,FR,2,5,0,0,0,0,0,0,0,0,0,0,-1.088947511,-1.088947511,-10,-10,0,0,0,0
1,FR,2,6,0,0,0,0,0,0,0,0,0,0,-1.088947511,-1.088947511,-10,-10,0,0,0,0
1,FR,2,7,0,0,0,0,0,0,0,0,0,0,-1.088947511,-1.088947511,-10,-10,0,0,0,0
1,FR,2,8,0,0,0,0,0,0,0,0,0,0,-1.088947511,-1.088947511,-10,-10,0,0,0,0
1,FR,3,9,0,0,0,0,0,0,0,0,0,0,-2.566480659,-2.566480659,-10,-10,0,0,0,0
1,FR,3,10,0,0,0,0,0,0,0,0,0,0,-2.566480659,-2.566480659,-10,-10,0,0,0,0
1,FR,3,11,0,0,0,0,0,0,0,0,0,0,-2.566480659,-2.566480659,-10,-10,0,0,0,0
1,FR,3,12,0,0,0,0,0,0,0,0,0,0,-2.566480659,-2.566480659,-10,-10,0,0,0,0
1,GR,1,1,0,0,0,0,0,0,0,0,0,0,-0.889744489,-0.889744489,-8.75,-5,0,0,0,0
1,GR,1,2,0,0,0,0,0,0,0,0,0,0,-0.889744489,-0.889744489,-8.75,-10,0,0,0,0
1,GR,1,3,0,0,0,0,0,0,0,0,0,0,-0.889744489,-0.889744489,-8.75,-10,0,0,0,0
1,GR,1,4,0,0,0,0,0,0,0,0,0,0,-0.889744489,-0.889744489,-8.75,-10,0,0,0,0
1,GR,2,5,0,0,0,0,0,0,0,0,0,0,-2.469277077,-2.469277077,-10,-10,0,0,0,0
1,GR,2,6,0,0,0,0,0,0,0,0,0,0,-2.469277077,-2.469277077,-10,-10,0,0,0,0
1,GR,2,7,0,0,0,0,0,0,0,0,0,0,-2.469277077,-2.469277077,-10,-10,0,0,0,0
1,GR,2,8,0,0,0,0,0,0,0,0,0,0,-2.469277077,-2.469277077,-10,-10,0,0,0,0
1,GR,3,9,0,0,0,0,0,0,0,0,0,0,-4.446339679,-4.446339679,-10,-10,0,0,0,0
1,GR,3,10,0,0,0,0,0,0,0,0,0,0,-4.446339679,-4.446339679,-10,-10,0,0,0,0
1,GR,3,11,0,0,0,0,0,0,0,0,0,0,-4.446339679,-4.446339679,-10,-10,0,0,0,0
1,GR,3,12,0,0,0,0,0,0,0,0,0,0,-4.446339679,-4.446339679,-10,-10,0,0,0,0
1,HR,1,1,0,0,0,0,0,0,0,0,0,0,-1.045257187,-1.045257187,-8.75,-5,0,0,0,0
1,HR,1,2,0,0,0,0,0,0,0,0,0,0,-1.045257187,-1.045257187,-8.75,-10,0,0,0,0
1,HR,1,3,0,0,0,0,0,0,0,0,0,0,-1.045257187,-1.045257187,-8.75,-10,0,0,0,0
1,HR,1,4,0,0,0,0,0,0,0,0,0,0,-1.045257187,-1.045257187,-8.75,-10,0,0,0,0
1,HR,2,5,0,0,0,0,0,0,0,0,0,0,-2.839640854,-2.839640854,-10,-10,0,0,0,0
1,HR,2,6,0,0,0,0,0,0,0,0,0,0,-2.839640854,-2.839640854,-10,-10,0,0,0,0
1,HR,2,7,0,0,0,0,0,0,0,0,0,0,-2.839640854,-2.839640854,-10,-10,0,0,0,0
1,HR,2,8,0,0,0,0,0,0,0,0,0,0,-2.839640854,-2.839640854,-10,-10,0,0,0,0
1,HR,3,9,0,0,0,0,0,0,0,0,0,0,-4.71058331,-4.71058331,-10,-10,0,0,0,0
1,HR,3,10,0,0,0,0,0,0,0,0,0,0,-4.71058331,-4.71058331,-10,-10,0,0,0,0
1,HR,3,11,0,0,0,0,0,0,0,0,0,0,-4.71058331,-4.71058331,-10,-10,0,0,0,0
